Position,Track Name,Artist,Streams,URL,Date
1,good 4 u,Olivia Rodrigo,11155793,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG,06/01/2021
2,Todo De Ti,Rauw Alejandro,7066316,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF,06/01/2021
3,Butter,BTS,6074067,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq,06/01/2021
4,deja vu,Olivia Rodrigo,5595449,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,06/01/2021
5,MONTERO (Call Me By Your Name),Lil Nas X,5318110,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,06/01/2021
6,Kiss Me More (feat. SZA),Doja Cat,5259011,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK,06/01/2021
7,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4373457,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,06/01/2021
8,traitor,Olivia Rodrigo,4368479,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,06/01/2021
9,drivers license,Olivia Rodrigo,4188503,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,06/01/2021
10,Levitating (feat. DaBaby),Dua Lipa,4097576,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,06/01/2021
11,favorite crime,Olivia Rodrigo,3483407,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8,06/01/2021
12,brutal,Olivia Rodrigo,3239890,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC,06/01/2021
13,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,3232614,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy,06/01/2021
14,happier,Olivia Rodrigo,3230563,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,06/01/2021
15,Astronaut In The Ocean,Masked Wolf,3158723,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl,06/01/2021
16,ZITTI E BUONI,MÃ¥neskin,3155545,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,06/01/2021
17,Leave The Door Open,Bruno Mars,3105658,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh,06/01/2021
18,Fiel,Los Legendarios,2998107,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs,06/01/2021
19,Pareja Del AÃ±o,Sebastian Yatra,2929622,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM,06/01/2021
20,enough for you,Olivia Rodrigo,2833953,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e,06/01/2021
21,Build a Bitch,Bella Poarch,2709419,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q,06/01/2021
22,RAPSTAR,Polo G,2596731,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6,06/01/2021
23,I WANNA BE YOUR SLAVE,MÃ¥neskin,2565130,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,06/01/2021
24,"jealousy, jealousy",Olivia Rodrigo,2486103,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk,06/01/2021
25,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,2419080,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl,06/01/2021
26,"1 step forward, 3 steps back",Olivia Rodrigo,2414273,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg,06/01/2021
27,Blinding Lights,The Weeknd,2382072,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,06/01/2021
28,Am,Nio Garcia,2347512,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv,06/01/2021
29,Dynamite,BTS,2258324,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,06/01/2021
30,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2015274,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ,06/01/2021
31,The Business,TiÃ«sto,2012662,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,06/01/2021
32,DÃKITI,Bad Bunny,2008295,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,06/01/2021
33,2/Catorce,Rauw Alejandro,1994129,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t,06/01/2021
34,hope ur ok,Olivia Rodrigo,1985826,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3,06/01/2021
35,telepatÃ­a,Kali Uchis,1951493,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,06/01/2021
36,Heartbreak Anniversary,Giveon,1941131,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp,06/01/2021
37,Save Your Tears,The Weeknd,1821524,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,06/01/2021
38,Heat Waves,Glass Animals,1805391,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,06/01/2021
39,EL MAKINON,KAROL G,1803972,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M,06/01/2021
40,Botella Tras Botella,Gera MX,1795693,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK,06/01/2021
41,Watermelon Sugar,Harry Styles,1775094,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,06/01/2021
42,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,1765733,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU,06/01/2021
43,Your Love (9PM),ATB,1740649,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx,06/01/2021
44,Arcade,Duncan Laurence,1659975,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,06/01/2021
45,Your Power,Billie Eilish,1658985,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD,06/01/2021
46,Goosebumps - Remix,Travis Scott,1640375,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,06/01/2021
47,Hold On,Justin Bieber,1638698,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5,06/01/2021
48,Rasputin,Majestic,1591340,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q,06/01/2021
49,Mood (feat. iann dior),24kGoldn,1586798,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m,06/01/2021
50,BED,Joel Corry,1559485,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS,06/01/2021
51,MiÃ©nteme,TINI,1541463,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc,06/01/2021
52,Bandido,Myke Towers,1443327,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb,06/01/2021
53,Up,Cardi B,1435791,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi,06/01/2021
54,Don't Start Now,Dua Lipa,1425555,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,06/01/2021
55,Someone You Loved,Lewis Capaldi,1410209,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,06/01/2021
56,Runaway,AURORA,1380318,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6,06/01/2021
57,512,Mora,1377918,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2,06/01/2021
58,Streets,Doja Cat,1374879,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,06/01/2021
59,m y . l i f e (with 21 Savage & Morray),J. Cole,1371745,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG,06/01/2021
60,WITHOUT YOU,The Kid LAROI,1357323,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA,06/01/2021
61,Head & Heart (feat. MNEK),Joel Corry,1349007,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,06/01/2021
62,Sal y Perrea,Sech,1339289,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU,06/01/2021
63,Poblado,Crissin,1337268,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e,06/01/2021
64,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,1332945,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf,06/01/2021
65,Lucid Dreams,Juice WRLD,1319513,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,06/01/2021
66,Wants and Needs (feat. Lil Baby),Drake,1318502,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b,06/01/2021
67,Miss The Rage (feat. Playboi Carti),Trippie Redd,1300600,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq,06/01/2021
68,911,Sech,1273498,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX,06/01/2021
69,We're Good,Dua Lipa,1269736,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh,06/01/2021
70,Talking to the Moon,Bruno Mars,1265009,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU,06/01/2021
71,Dick (feat. Doja Cat),StarBoi3,1249604,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0,06/01/2021
72,Baila Conmigo (with Rauw Alejandro),Selena Gomez,1248388,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h,06/01/2021
73,Sweater Weather,The Neighbourhood,1238961,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,06/01/2021
74,LA NOCHE DE ANOCHE,Bad Bunny,1233512,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck,06/01/2021
75,positions,Ariana Grande,1203866,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,06/01/2021
76,QuÃ© MÃ¡s Pues?,J Balvin,1192995,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e,06/01/2021
77,Levitating,Dua Lipa,1184635,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP,06/01/2021
78,0X1=LOVESONG (I Know I Love you),TOMORROW X TOGETHER,1172726,https://open.spotify.com/track/3yTkoTuiKRGL2VAlQd7xsC,06/01/2021
79,Dance Monkey,Tones And I,1159249,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,06/01/2021
80,Calling My Phone,Lil Tjay,1159237,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE,06/01/2021
81,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,1143243,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP,06/01/2021
82,Run,OneRepublic,1131899,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw,06/01/2021
83,SUN GOES DOWN,Lil Nas X,1127719,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h,06/01/2021
84,Roses - Imanbek Remix,SAINt JHN,1122283,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb,06/01/2021
85,Best Friend (feat. Doja Cat),Saweetie,1113818,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp,06/01/2021
86,Hecha Pa' Mi,Boza,1111015,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx,06/01/2021
87,ROCKSTAR (feat. Roddy Ricch),DaBaby,1107631,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,06/01/2021
88,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1098834,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX,06/01/2021
89,34+35,Ariana Grande,1067661,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,06/01/2021
90,Wasted Love (feat. Lagique),Ofenbach,1063914,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U,06/01/2021
91,Cover Me In Sunshine,P!nk,1062604,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m,06/01/2021
92,a m a r i,J. Cole,1058473,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX,06/01/2021
93,Freaks,Surf Curse,1043840,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr,06/01/2021
94,you broke me first,Tate McRae,1041043,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,06/01/2021
95,lovely (with Khalid),Billie Eilish,1034576,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,06/01/2021
96,malibu,sangiovanni,1024265,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi,06/01/2021
97,Aloha,Maluma,1022677,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU,06/01/2021
98,Before You Go,Lewis Capaldi,1022115,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,06/01/2021
99,Ram Pam Pam,Natti Natasha,1022006,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO,06/01/2021
100,Leave Before You Love Me (with Jonas Brothers),Marshmello,1017767,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1,06/01/2021
101,Circles,Post Malone,1017015,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,06/01/2021
102,Another Love,Tom Odell,1002632,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ,06/01/2021
103,Good Days,SZA,991232,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A,06/01/2021
104,Life Goes On,BTS,988735,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD,06/01/2021
105,Reloj,Rauw Alejandro,987492,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J,06/01/2021
106,Paradise (feat. Dermot Kennedy),MEDUZA,982978,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr,06/01/2021
107,Bipolar,Mc Davi,979918,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x,06/01/2021
108,Heather,Conan Gray,967460,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,06/01/2021
109,Believer,Imagine Dragons,966922,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,06/01/2021
110,Our Song,Anne-Marie,962024,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn,06/01/2021
111,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,953861,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,06/01/2021
112,Tell Em,Cochise,944504,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8,06/01/2021
113,CORALINE,MÃ¥neskin,931051,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY,06/01/2021
114,goosebumps,Travis Scott,917764,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,06/01/2021
115,Memories,Maroon 5,909763,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,06/01/2021
116,Ella No Es Tuya - Remix,Rochy RD,909366,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y,06/01/2021
